Year,S&P 500,Dividends,Dividend Yield,T.Bond rate,Return on bond
1927,17.66,0.62,3.50%,3.17%,
1928,24.35,1.05,4.30%,3.45%,0.84%
1929,21.45,0.88,4.10%,3.36%,4.20%
1930,15.34,0.72,4.70%,3.22%,4.54%
1931,8.12,0.50,6.10%,3.93%,-2.56%
1932,6.92,0.50,7.20%,3.35%,8.79%
1933,9.97,0.41,4.10%,3.53%,1.86%
1934,9.5,0.35,3.70%,3.01%,7.96%
1935,13.43,0.51,3.80%,2.84%,4.47%
1936,17.18,0.54,3.14%,2.59%,5.02%
1937,10.55,0.56,5.30%,2.73%,1.38%
1938,13.14,0.50,3.80%,2.56%,4.21%
1939,12.46,0.54,4.30%,2.35%,4.41%
1940,10.58,0.55,5.20%,2.01%,5.40%
1941,8.69,0.54,6.20%,2.47%,-2.02%
1942,9.77,0.59,6.00%,2.49%,2.29%
1943,11.67,0.55,4.70%,2.49%,2.49%
1944,13.28,0.61,4.60%,2.48%,2.58%
1945,17.36,0.68,3.90%,2.33%,3.80%
1946,15.3,0.60,3.90%,2.24%,3.13%
1947,15.3,0.80,5.20%,2.39%,0.92%
1948,15.2,0.97,6.40%,2.44%,1.95%
1949,16.79,1.19,7.10%,2.19%,4.66%
1950,20.43,1.53,7.50%,2.39%,0.43%
1951,23.77,1.50,6.30%,2.70%,-0.30%
1952,26.57,1.51,5.70%,2.75%,2.27%
1953,24.81,1.44,5.80%,2.59%,4.14%
1954,35.98,1.87,5.20%,2.51%,3.29%
1955,45.48,2.23,4.90%,2.96%,-1.34%
1956,46.67,2.19,4.70%,3.59%,-2.26%
1957,39.99,1.80,4.50%,3.21%,6.80%
1958,55.21,2.26,4.10%,3.86%,-2.10%
1959,59.89,1.98,3.30%,4.69%,-2.65%
1960,58.11,1.98,3.41%,3.84%,11.64%
1961,71.55,2.04,2.85%,4.06%,2.06%
1962,63.1,2.15,3.40%,3.86%,5.69%
1963,75.02,2.35,3.13%,4.13%,1.68%
1964,84.75,2.58,3.05%,4.18%,3.73%
1965,92.43,2.83,3.06%,4.62%,0.72%
1966,80.33,2.88,3.59%,4.84%,2.91%
1967,96.47,2.98,3.09%,5.70%,-1.58%
1968,103.86,3.04,2.93%,6.03%,3.27%
1969,92.06,3.24,3.52%,7.65%,-5.01%
1970,92.15,3.19,3.46%,6.39%,16.75%
1971,102.09,3.16,3.10%,5.93%,9.79%
1972,118.05,3.19,2.70%,6.36%,2.82%
1973,97.55,3.61,3.70%,6.74%,3.66%
1974,68.56,3.72,5.43%,7.43%,1.99%
1975,90.19,3.73,4.14%,8.00%,3.61%
1976,107.46,4.22,3.93%,6.87%,15.98%
1977,95.1,4.86,5.11%,7.69%,1.29%
1978,96.11,5.18,5.39%,9.01%,-0.78%
1979,107.94,5.97,5.53%,10.39%,0.67%
1980,135.76,6.44,4.74%,12.84%,-2.99%
1981,122.55,6.83,5.57%,13.72%,8.20%
1982,140.64,6.93,4.93%,10.54%,32.81%
1983,164.93,7.12,4.32%,11.83%,3.20%
1984,167.24,7.83,4.68%,11.50%,13.73%
1985,211.28,8.20,3.88%,9.26%,25.71%
1986,242.17,8.19,3.38%,7.11%,24.28%
1987,247.08,9.17,3.71%,8.99%,-4.96%
1988,277.72,10.22,3.68%,9.11%,8.22%
1989,353.4,11.73,3.32%,7.84%,17.69%
1990,330.22,12.35,3.74%,8.08%,6.24%
1991,417.09,12.97,3.11%,7.09%,15.00%
1992,435.71,12.64,2.90%,6.77%,9.36%
1993,466.45,12.69,2.72%,5.77%,14.21%
1994,459.27,13.36,2.91%,7.81%,-8.04%
1995,615.93,14.17,2.30%,5.71%,23.48%
1996,740.74,14.89,2.01%,6.30%,1.43%
1997,970.43,15.52,1.60%,5.81%,9.94%
1998,1229.23,16.20,1.32%,4.65%,14.92%
1999,1469.25,16.71,1.14%,6.44%,-8.25%
2000,1320.28,16.27,1.23%,5.11%,16.66%
2001,1148.09,15.74,1.37%,5.05%,5.57%
2002,879.82,16.08,1.83%,3.82%,15.12%
2003,1111.91,17.39,1.56%,4.25%,0.38%
2004,1211.92,19.44,1.60%,4.22%,4.49%
2005,1248.29,22.22,1.78%,4.39%,2.87%
2006,1418.3,24.88,1.75%,4.70%,1.96%
2007,1468.36,27.73,1.89%,4.02%,10.21%
2008,903.25,28.39,3.14%,2.21%,20.10%
2009,1115.1,22.41,2.01%,3.84%,-11.12%
2010,1257.64,22.73,1.81%,3.29%,8.46%
2011,1257.6,26.43,2.10%,1.88%,16.04%
2012,1426.19,31.25,2.19%,1.76%,2.97%
2013,1848.36,36.28,1.96%,3.04%,-9.10%
2014,2058.9,39.44,1.92%,2.17%,10.75%
2015,2043.9,43.00,2.10%,2.27%,1.28%
